PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2000-13532,2000/12/28,Commercial / Multi Family Project,Building,3401 - Bank,Commercial,Non-Residential,New,New commercial building
BP2001-00005,2001/01/02,Commercial / Multi Family Project,Building,5105 - Day-Care,Institutional,Non-Residential,New,New Daycare Facility
BP2001-00052,2001/01/04,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,New commercial building
BP2001-00093,2001/01/05,Commercial / Multi Family Project,Building,3107 - Shopping Centre,Commercial,Non-Residential,New,New Shopping Centre
BP2001-00366,2001/01/16,Commercial / Multi Family Project,Building,3508 - Exhibition Building,Commercial,Non-Residential,New,New building
BP2001-00363,2001/01/16,Commercial / Multi Family Project,Building,3508 - Exhibition Building,Commercial,Non-Residential,New,New Building
BP2001-00398,2001/01/17,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,
BP2001-00512,2001/01/19,Commercial / Multi Family Project,Building,3608 - Restaurant,Commercial,Non-Residential,New,New commercial building
BP2001-00631,2001/01/23,Commercial / Multi Family Project,Building,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,
BP2001-00689,2001/01/25,Commercial / Multi Family Project,Building,2404 - Radio/Tv Tower,Industrial,Non-Residential,New,New Communications Tower
BP2001-00900,2001/02/02,Commercial / Multi Family Project,Building,2303 - Bridge (+15),Industrial,Non-Residential,New,New + 15 Across 6 Av
BP2001-00945,2001/02/05,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,New,Relocation of Classroom and Site Remediation
BP2001-00933,2001/02/05,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,New,
BP2001-00935,2001/02/05,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,New,
BP2001-00939,2001/02/05,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,New,Relocation of Classroom and Site Remediation
BP2001-00941,2001/02/05,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,New,Relocation of Classroom and Site Remediation
BP2001-00946,2001/02/05,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,New,Relocation of Classroom and Site Remediation
BP2001-00934,2001/02/05,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,New,Movable School Portable Removal & Remediation
BP2001-00936,2001/02/05,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,New,Movable School Portables
BP2001-00937,2001/02/05,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,New,School Portables Removal & Remediation
BP2001-00996,2001/02/06,Commercial / Multi Family Project,Building,3599 - Recreation Misc.,Commercial,Non-Residential,New,Special event tent (5 days)
BP2001-01055,2001/02/07,Commercial / Multi Family Project,Building,2349 - Indust/Transportation Misc.,Industrial,Non-Residential,New,New Shelter & Monopole
BP2001-01085,2001/02/08,Commercial / Multi Family Project,Building,2303 - Bridge (+15),Industrial,Non-Residential,New,New Plus 15
BP2001-01169,2001/02/12,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,new whse/mfg & office building
BP2001-01197,2001/02/13,Commercial / Multi Family Project,Building,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,New Industrial Building
BP2001-01198,2001/02/13,Commercial / Multi Family Project,Building,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,New Industrial Building
BP2001-01363,2001/02/16,Commercial / Multi Family Project,Building,3107 - Shopping Centre,Commercial,Non-Residential,New,Neighbourhood Shopping  Centre
BP2001-01331,2001/02/16,Commercial / Multi Family Project,Building,5302 - Senior Citizen Homes,Institutional,Non-Residential,New,Show Suite
BP2001-01437,2001/02/21,Commercial / Multi Family Project,Building,2308 - Terminal-Air,Industrial,Non-Residential,New,New
BP2001-01532,2001/02/22,Commercial / Multi Family Project,Building,2349 - Indust/Transportation Misc.,Industrial,Non-Residential,New,New Industrial Storage Building
BP2001-01540,2001/02/23,Commercial / Multi Family Project,Building,2303 - Bridge (+15),Industrial,Non-Residential,New,New Plus 15
BP2001-01587,2001/02/26,Commercial / Multi Family Project,Building,3103 - Kiosk,Commercial,Non-Residential,New,New Construction for Food Kiosk - existing tenant
BP2001-01589,2001/02/26,Commercial / Multi Family Project,Building,3899 - Community Service Misc.,Commercial,Non-Residential,New,New Building Replacing Existing Security Office - Existing Tenant
BP2001-01685,2001/02/27,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,
BP2001-01853,2001/03/02,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,new building
BP2001-01879,2001/03/02,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,New,Mini School
BP2001-01902,2001/03/05,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,
BP2001-01904,2001/03/05,Commercial / Multi Family Project,Building,3303 - Gas Bar,Commercial,Non-Residential,New,new building for gas bar
BP2001-01956,2001/03/06,Commercial / Multi Family Project,Building,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,Temporary tent structure
BP2001-02068,2001/03/09,Commercial / Multi Family Project,Building,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,New Commercial Building
