PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2007-04880,2007/04/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-18551,2006/10/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-12597,2007/08/14,Demolition,Demolition,3106 - Retail Shop,Commercial,Non-Residential,Demolition,
BP2007-13162,2007/08/22,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-12950,2007/08/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-13158,2007/08/22,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-04985,2007/04/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-13448,2007/08/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-10009,2007/06/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-13889,2007/09/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-04508,2007/04/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-04950,2007/04/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-05151,2007/04/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-14803,2007/09/21,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-18159,2006/10/24,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-13949,2007/09/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-13046,2007/08/21,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-18934,2006/11/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-11212,2007/07/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-06909,2007/05/15,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-11799,2007/07/31,Demolition,Demolition,1506 - Apt Apartment,Apartment,Residential,Demolition,
BP2007-14552,2007/09/18,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
